         2000     0.01000           2     4.00000
            0     1.20000     1.20000     1.20000
     0.7700       0.00000    -67.17536    -68.75049    -80.22526
     0.7800       0.00000    -67.50692    -68.40983    -78.69301
     0.7900       0.00000    -67.78134    -68.05473    -77.20001
     0.8000       0.00000    -67.99702    -67.68522    -75.74797
     0.8100       0.00000    -68.15271    -67.30141    -74.33848
     0.8200       0.00000    -68.24748    -66.90347    -72.97292
     0.8300       0.00000    -68.28074    -66.49161    -71.65250
     0.8400       0.00000    -68.25227    -66.06614    -70.37826
     0.8500       0.00000    -68.16221    -65.62739    -69.15104
     0.8600       0.00000    -68.01109    -65.17578    -67.97149
     0.8700       0.00000    -67.79981    -64.71180    -66.84004
     0.8800       0.00000    -67.52966    -64.23597    -65.75693
     0.8900       0.00000    -67.20229    -63.74890    -64.72220
     0.9000       0.00000    -66.81975    -63.25125    -63.73564
     0.9100       0.00000    -66.38443    -62.74375    -62.79685
     0.9200       0.00000    -65.89908    -62.22718    -61.90519
     0.9300       0.00000    -65.36680    -61.70237    -61.05982
     0.9400       0.00000    -64.79099    -61.17020    -60.25963
     0.9500       0.00000    -64.17532    -60.63162    -59.50333
     0.9600       0.00000    -63.52378    -60.08761    -58.78939
     0.9700       0.00000    -62.84054    -59.53918    -58.11605
     0.9800       0.00000    -62.13002    -58.98738    -57.48134
     0.9900       0.00000    -61.39677    -58.43330    -56.88310
     1.0000       0.00000    -60.64550    -57.87805    -56.31895
     1.0100       0.00000    -59.88099    -57.32273    -55.78636
     1.0200       0.00000    -59.10806    -56.76849    -55.28260
     1.0300       0.00000    -58.33154    -56.21643    -54.80483
     1.0400       0.00000    -57.55619    -55.66768    -54.35007
     1.0500       0.00000    -56.78666    -55.12333    -53.91526
     1.0600       0.00000    -56.02744    -54.58443    -53.49729
     1.0700       0.00000    -55.28279    -54.05200    -53.09304
     1.0800       0.00000    -54.55667    -53.52699    -52.69941
     1.0900       0.00000    -53.85271    -53.01030    -52.31341
     1.1000       0.00000    -53.17407    -52.50271    -51.93216
     1.1100       0.00000    -52.52344    -52.00494    -51.55302
     1.1200       0.00000    -51.90290    -51.51756    -51.17361
     1.1300       0.00000    -51.31386    -51.04100    -50.79191
